,gene function,organism,nador_2_counts,phylum,class,order,family,oualidia_2_counts,oualidia_1_counts,nador_1_counts
31,1-acyl-sn-glycerol-3-phosphate acetyltransferase,Maribacter sp. HTCC2170,2.46,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,3.0,1.0,
69,16S rRNA processing protein,Croceibacter atlanticus HTCC2559,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,1.0,
70,16S rRNA processing protein RimM,Capnocytophaga ochracea DSM 7271,2.57,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,3.32
146,2-nitropropane dioxygenase,Dokdonia donghaensis MED134,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,3.0,2.0,0.0
170,2-oxoglutarate dehydrogenase comple,Leeuwenhoekiella blandensis MED217,4.89,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,3.0,1.0,4.12
197,3''-Phosphoadenosine 5''-phosphosulfate (PAPS) 3''-phosphatase,Psychroflexus torquis ATCC 700755,16.38,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,14.74
210,3-dehydroquinate dehydratase,Polaribacter sp. MED152,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,1.63
216,3-dehydroquinate synthase,Polaribacter sp. MED152,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
227,3-deoxy-7-phosphoheptulonate synthase,Psychroflexus torquis ATCC 700755,2.35,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.62
231,3-deoxy-D-manno- octulosonatecytidylyltransferase,Capnocytophaga ochracea DSM 7271,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
238,3-hydroxyacyl-(acyl-carrier-protein) dehydratase,Riemerella anatipestifer DSM 15868,2.36,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,
249,3-hydroxyacyl-CoA dehydrogenase and enoyl-CoA hydratase/carnithine racemase fusion,Maribacter sp. HTCC2170,24.44,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,12.0,9.0,20.48
255,3-hydroxybutyryl-CoA dehydrogenase,Dokdonia donghaensis MED134,6.76,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,3.29
256,3-hydroxybutyryl-CoA dehydrogenase,Kordia algicida OT-1,1.69,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,1.69
257,3-hydroxybutyryl-CoA dehydrogenase,Maribacter sp. HTCC2170,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,2.0,2.47
270,3-isopropylmalate dehydratas,Flavobacterium johnsoniae UW101,9.88,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,1.0,1.0,9.76
277,3-isopropylmalate dehydratase small subunit,Dokdonia donghaensis MED134,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,0.0
292,3-ketoacyl-CoA thiolase,Gramella forsetii KT0803,10.49,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,11.53
