function,nador_lagoon_1,nador_lagoon_2,oualidia_lagoon_1,oualidia_lagoon_2
(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-),211,209,70,61
"(GlcNAc)2 ABC transporter, ATP-binding component 1",0,0,2,2
"(GlcNAc)2 ABC transporter, ATP-binding component 2",1,0,0,0
"(GlcNAc)2 ABC transporter, permease component 1",0,2,0,0
"(R)-2-hydroxyacid dehydrogenase, similar to L-sulfolactate dehydrogenase (EC 1.1.1.272)",2,3,1,1
(R)-citramalate synthase (EC 2.3.1.182),338,300,92,85
"(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase",12,11,10,8
(S)-2-hydroxy-acid oxidase (EC 1.1.3.15),1,0,7,5
(S)-3-O-geranylgeranylglyceryl phosphate synthase,1,2,5,5
"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54)",21,21,1,1
"1,2-dihydroxycyclohexa-3,5-diene-1-carboxylate dehydrogenase (EC 1.3.1.25)",1,2,0,0
"1,2-dihydroxynaphthalene dioxygenase",0,1,0,0
"1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)",152,136,50,50
"1,4-alpha-glucan (starch) branching enzyme, GH-13-type (EC 2.4.1.18)",1,1,0,0
"1,4-alpha-glucan branching enzyme (EC 2.4.1.18)",78,78,13,10
"1,4-dihydroxy-2-naphthoate octaprenyltransferase (EC 2.5.1.-)",76,67,37,33
1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51),142,123,60,58
1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7),47,43,17,18
1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267),234,203,111,95
1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7),844,798,302,280
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1),482,464,178,154
1-phosphofructokinase (EC 2.7.1.56),0,1,1,1
1-pyrroline-4-hydroxy-2-carboxylate deaminase (EC 3.5.4.22),9,9,11,8
"15,16-dihydrobiliverdin:ferredoxin oxidoreductase PebA (EC 1.3.7.2)",33,30,4,3
16 kDa heat shock protein A,113,111,59,47
16 kDa heat shock protein B,4,3,0,0
16S rRNA m(5)C 967 methyltransferase (EC 2.1.1.-),44,41,9,6
16S rRNA processing protein RimM,92,93,29,28
1st GPH family transporter in unknown oligosaccharide utilization Sde 1396,1,1,2,2
"2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)",102,100,28,28
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)",23,24,13,11
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)",388,355,122,108
"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)",448,434,124,106
"2,3-bisphosphoglycerate-independent phosphoglycerate mutase, archaeal type (EC 5.4.2.1)",0,1,1,1
"2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific (EC 1.1.1.4)",3,1,1,1
"2,3-butanediol dehydrogenase, S-alcohol forming, (R)-acetoin-specific (EC 1.1.1.4)",1,0,0,0
"2,3-butanediol dehydrogenase, S-alcohol forming, (S)-acetoin-specific (EC 1.1.1.76)",22,23,12,13
"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28)",1,1,0,0
"2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58)",2,2,2,2
"2,3-dihydroxybiphenyl 1,2-dioxygenase",11,9,1,3
"2,3-dihydroxyphenylpropionate 1,2-dioxygenase (EC 1.13.11.-)",1,2,1,1
"2,3-diketo-5-methylthiopentyl-1-phosphate enolase",38,33,1,3
"2,3-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase (EC 3.1.3.77)",4,5,5,5
"2,4-diaminopentanoate dehydrogenase (EC 1.4.1.12)",0,0,1,1
"2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)",251,229,84,76
