level1	level2	level3	function	nador_lagoon_1	nador_lagoon_2	oualidia_lagoon_1	oualidia_lagoon_2
Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Carotenoids	"phi-Carotenoid synthase" (EC 1.3.-.- and EC 2.1.1-)	1	1	0	0
Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	211	209	70	61
Carbohydrates	Aminosugars	(GlcNAc)2_Catabolic_Operon	(GlcNAc)2 ABC transporter, ATP-binding component 1	0	0	2	2
Carbohydrates	Aminosugars	(GlcNAc)2_Catabolic_Operon	(GlcNAc)2 ABC transporter, ATP-binding component 2	1	0	0	0
Carbohydrates	Aminosugars	(GlcNAc)2_Catabolic_Operon	(GlcNAc)2 ABC transporter, permease component 1	0	2	0	0
Carbohydrates	Central carbohydrate metabolism	Glyoxylate_bypass	(R)-2-hydroxyacid dehydrogenase, similar to L-sulfolactate dehydrogenase (EC 1.1.1.272)	2	3	1	1
Amino Acids and Derivatives	Branched-chain amino acids	Branched-Chain_Amino_Acid_Biosynthesis	(R)-citramalate synthase (EC 2.3.1.182)	338	300	92	85
Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Archaeal_lipids	(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase	12	11	10	8
Carbohydrates	Central carbohydrate metabolism	Glycolate,_glyoxylate_interconversions	(S)-2-hydroxy-acid oxidase (EC 1.1.3.15)	1	0	7	5
Clustering-based subsystems	NULL	CBSS-393121.3.peg.1913	(S)-3-O-geranylgeranylglyceryl phosphate synthase	1	2	5	5
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Salvage	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54)	21	21	1	1
Secondary Metabolism	Biosynthesis of phenylpropanoids	Phenylpropionate_Degradation	1,2-dihydroxycyclohexa-3,5-diene-1-carboxylate dehydrogenase (EC 1.3.1.25)	1	2	0	0
Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	Naphtalene_and_antracene_degradation	1,2-dihydroxynaphthalene dioxygenase	0	1	0	0
Carbohydrates	Polysaccharides	Glycogen_metabolism	1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	152	136	50	50
Carbohydrates	Polysaccharides	Glycogen_metabolism	1,4-alpha-glucan (starch) branching enzyme, GH-13-type (EC 2.4.1.18)	1	1	0	0
Carbohydrates	Polysaccharides	Cellulosome	1,4-alpha-glucan branching enzyme (EC 2.4.1.18)	78	78	13	10
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone_and_Phylloquinone_Biosynthesis	1,4-dihydroxy-2-naphthoate octaprenyltransferase (EC 2.5.1.-)	76	67	37	33
Fatty Acids, Lipids, and Isoprenoids	Phospholipids	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	142	123	60	58
Miscellaneous	Plant-Prokaryote DOE project	Experimental-COG2515	1-aminocyclopropane-1-carboxylate deaminase (EC 3.5.99.7)	47	43	17	18
Clustering-based subsystems	Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	CBSS-83331.1.peg.3039	1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	234	203	111	95
Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxine	Pyridoxin_(Vitamin_B6)_Biosynthesis	1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	844	798	302	280
Clustering-based subsystems	Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE	CBSS-83331.1.peg.3039	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	482	464	178	154
Carbohydrates	NULL	Sugar_utilization_in_Thermotogales	1-phosphofructokinase (EC 2.7.1.56)	0	1	1	1
Amino Acids and Derivatives	Proline and 4-hydroxyproline	Proline,_4-hydroxyproline_uptake_and_utilization	1-pyrroline-4-hydroxy-2-carboxylate deaminase (EC 3.5.4.22)	9	9	11	8
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Bilin_Biosynthesis	15,16-dihydrobiliverdin:ferredoxin oxidoreductase PebA (EC 1.3.7.2)	33	30	4	3
