(2Fe-2S)-binding domain protein,Haliangium ochraceum DSM 14365,1
(2Fe-2S)-binding domain-containing protein,Halanaerobium sp. ''sapolanicus'',2
(2Fe-2S)-binding domain-containing protein,Meiothermus ruber DSM 1279,1
(3R)-hydroxymyristoyl-ACP dehydratase,Rhodospirillum rubrum ATCC 11170,2
(3R)-hydroxymyristoyl-ACP dehydratase,Teredinibacter turnerae T7901,1
(3R)-hydroxymyristoyl-[acyl carrier protein,Erythrobacter litoralis HTCC2594,1
(Acyl-carrier-protein) S-malonyltransferase,Nocardioides sp. JS614,1
(S)-2-hydroxy-acid oxidase,Acidovorax sp. JS42,3
(di)nucleoside polyphosphate hydrolase,Saccharophagus degradans 2-40,3
(dimethylallyl)adenosine tRNA methylthiotransferase,Bartonella henselae str. Houston-1,1
(dimethylallyl)adenosine tRNA methylthiotransferase,Chlorobium phaeobacteroides BS1,1
(dimethylallyl)adenosine tRNA methylthiotransferase,Gluconacetobacter diazotrophicus PAl 5,1
(dimethylallyl)adenosine tRNA methylthiotransferase,Porphyromonas gingivalis W83,2
(dimethylallyl)adenosine tRNA methylthiotransferase,Xanthomonas campestris pv. vesicatoria str. 85-10,2
(glutamate--ammonia-ligase) adenylyltransferase,Acidiphilium cryptum JF-5,1
(p)ppGpp synthetase,Chitinophaga pinensis DSM 2588,3
(p)ppGpp synthetase,Dyadobacter fermentans DSM 18053,2
(p)ppGpp synthetase,Jonesia denitrificans DSM 20603,2
(p)ppGpp synthetase,Paracoccus denitrificans PD1222,8
(p)ppGpp synthetase I,Frankia sp. CcI3,1
-bisphosphoglycerate-independent phosphoglycerate mutase,Francisella novicida FTG,2
-heptose,Haemophilus influenzae 7P49H1,1
037L,Invertebrate iridescent virus 6,2
1,Synechococcus sp. WH 8109,3
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Acidovorax sp. JS42,1
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Jannaschia sp. CCS1,7
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Lactococcus lactis subsp. cremoris SK11,1
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Octadecabacter antarcticus 238,13
1-acyl-sn-glycerol-3-phosphate acyltransferase,Flavobacteriales bacterium ALC-1,1
1-aminocyclopropane-1-carboxylate deaminase,Anabaena variabilis ATCC 29413,1
1-aminocyclopropane-1-carboxylate deaminase,Flavobacteria bacterium MS024-2A,7
1-aminocyclopropane-1-carboxylate deaminase,Saccharopolyspora erythraea NRRL 2338,1
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Acaryochloris marina MBIC11017,1
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Brachyspira murdochii DSM 12563,2
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Candidatus Koribacter versatilis Ellin345,1
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Congregibacter litoralis KT71,7
