,gene function,organism,nador_2_counts,phylum,class,order,family
0,(2Fe-2S)-binding domain-containing protein,Halanaerobium sp. ''sapolanicus'',1.61,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae
1,(2Fe-2S)-binding domain-containing protein,Meiothermus ruber DSM 1279,0.0,,Deinococci,Thermales,Thermaceae
2,(2Fe-2S)-binding protein,Oceanibulbus indolifex HEL-45,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
3,(3R)-hydroxymyristoyl-ACP dehydratase,Desulfitobacterium hafniense Y51,0.0,Firmicutes,Clostridia,Clostridiales,Peptococcaceae
4,(3R)-hydroxymyristoyl-ACP dehydratase,Rhodospirillum rubrum ATCC 11170,1.72,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae
5,(3R)-hydroxymyristoyl-[acyl carrier protein,Erythrobacter litoralis HTCC2594,0.0,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae
6,(3R)-hydroxymyristoyl-[acyl carrier protein,Erythrobacter sp. NAP1,0.0,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae
7,(S)-2-hydroxy-acid oxidase,Acidovorax sp. JS42,4.15,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae
8,(di)nucleoside polyphosphate hydrolase,Saccharophagus degradans 2-40,1.64,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae
9,(dimethylallyl)adenosine tRNA methylthiotransferase,Aquifex aeolicus VF5,0.0,Aquificae,Aquificae,Aquificales,Aquificaceae
10,(dimethylallyl)adenosine tRNA methylthiotransferase,Bartonella henselae str. Houston-1,0.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae
11,(dimethylallyl)adenosine tRNA methylthiotransferase,Gluconacetobacter diazotrophicus PAl 5,0.0,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae
12,(dimethylallyl)adenosine tRNA methylthiotransferase,Saccharopolyspora erythraea NRRL 2338,3.37,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae
13,(dimethylallyl)adenosine tRNA methylthiotransferase,Xanthomonas campestris pv. vesicatoria str. 85-10,1.65,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae
14,(glutamate--ammonia-ligase) adenylyltransferase,Acidiphilium cryptum JF-5,2.48,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae
15,(glutamate--ammonia-ligase) adenylyltransferase,Parvibaculum lavamentivorans DS-1,0.0,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae
16,(p)ppGpp synthetase,Chitinophaga pinensis DSM 2588,2.51,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae
17,(p)ppGpp synthetase,Clostridium lentocellum DSM 5427,0.0,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae
18,(p)ppGpp synthetase,Jonesia denitrificans DSM 20603,0.0,Actinobacteria,Actinobacteria,Micrococcales,Jonesiaceae
19,(p)ppGpp synthetase,Paracoccus denitrificans PD1222,8.16,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
20,(p)ppGpp synthetase I,Frankia sp. CcI3,0.0,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae
21,-D / a-ketoglutarate dioxygenase,Ralstonia eutropha JMP134,0.0,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
22,-bisphosphoglycerate-independent phosphoglycerate mutase,Francisella novicida FTG,0.0,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae
23,-heptose,Haemophilus influenzae 7P49H1,0.0,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae
24,037L,Invertebrate iridescent virus 6,0.0,,,,Iridoviridae
25,1,Synechococcus sp. WH 8109,3.4,Cyanobacteria,,Synechococcales,Synechococcaceae
26,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Acidovorax sp. JS42,0.0,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae
27,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Jannaschia sp. CCS1,6.74,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
28,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Octadecabacter antarcticus 238,3.22,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
29,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Roseibium sp. TrichSKD4,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
30,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Roseovarius sp. TM1035,0.0,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
31,1-acyl-sn-glycerol-3-phosphate acetyltransferase,Maribacter sp. HTCC2170,2.46,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae
32,1-acyl-sn-glycerol-3-phosphate acyltransferase,Flavobacteriales bacterium ALC-1,0.0,Bacteroidetes,Flavobacteriia,Flavobacteriales,
