,gene function,organism,oualidia_2_counts,phylum,class,order,family
0,(2Fe-2S)-binding,Cupriavidus metallidurans CH34,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
1,(2Fe-2S)-binding,Moorella thermoacetica ATCC 39073,2,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae
2,(2Fe-2S)-binding domain protein,Ralstonia pickettii 12D,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
3,(3R)-hydroxymyristoyl-ACP dehydratase,Cellvibrio japonicus Ueda107,1,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae
4,(3R)-hydroxymyristoyl-ACP dehydratase,Vibrio fischeri MJ11,3,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae
5,(3R)-hydroxymyristoyl-[acyl carrier protein,Candidatus Pelagibacter ubique HTCC1002,5,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae
6,(3R)-hydroxymyristoyl-[acyl carrier protein,Erythrobacter sp. NAP1,1,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae
7,(NiFe) hydrogenase maturation protein HypF,Desulfatibacillum alkenivorans AK-01,1,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae
8,(S)-2-hydroxy-acid oxidase chain D,Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1,1,Firmicutes,Bacilli,Bacillales,Bacillaceae
9,(dimethylallyl)adenosine tRNA methylthiotransferase,Cyanothece sp. PCC 7425,1,Cyanobacteria,,Oscillatoriales,Cyanothecaceae
10,(dimethylallyl)adenosine tRNA methylthiotransferase,Saccharopolyspora erythraea NRRL 2338,2,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae
11,(dimethylallyl)adenosine tRNA methylthiotransferase,Xanthomonas campestris pv. vesicatoria str. 85-10,1,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae
12,(glutamate--ammonia-ligase) adenylyltransferase,Parvibaculum lavamentivorans DS-1,1,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae
13,(p)ppGpp synthetase,Chitinophaga pinensis DSM 2588,2,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae
14,(p)ppGpp synthetase I,Frankia sp. CcI3,2,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae
15,(p)ppGpp synthetase I (GTP pyrophosphokinase,Candidatus Koribacter versatilis Ellin345,1,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae
16,(p)ppGpp synthetase I (GTP pyrophosphokinase,Polaromonas sp. JS666,1,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae
17,-dienoyl-CoA reductase,Glaciecola sp. HTCC2999,1,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae
18,-dienoyl-CoA reductase FadH1,Pseudomonas aeruginosa UCBPP-PA14,2,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae
19,-dihydroxy-2-butanone-4-phosphate synthase,Lactobacillus reuteri MM4-1A,1,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae
20,-dimethyl-8-ribityllumazine synthase,Desulfitobacterium hafniense Y51,1,Firmicutes,Clostridia,Clostridiales,Peptococcaceae
21,-tetrahydropyridine-,Yersinia pestis biovar Microtus str. 91001,2,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae
22,1-(5-phosphoribosyl)-5- ((5''-phosphoribosylamino)methylideneamino)imidazole-4- carboxamide isomerase,Roseburia intestinalis L1-82,1,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae
23,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Jannaschia sp. CCS1,1,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae
