gene function,organism,counts,nador_1_counts
(2Fe-2S)-binding domain protein,Haliangium ochraceum DSM 14365,1,0.0
(2Fe-2S)-binding domain-containing protein,Halanaerobium sp. ''sapolanicus'',2,1.6
(2Fe-2S)-binding domain-containing protein,Meiothermus ruber DSM 1279,1,0.0
(3R)-hydroxymyristoyl-ACP dehydratase,Rhodospirillum rubrum ATCC 11170,2,1.68
(3R)-hydroxymyristoyl-ACP dehydratase,Teredinibacter turnerae T7901,1,0.0
(3R)-hydroxymyristoyl-[acyl carrier protein,Erythrobacter litoralis HTCC2594,1,0.0
(Acyl-carrier-protein) S-malonyltransferase,Nocardioides sp. JS614,1,0.0
(S)-2-hydroxy-acid oxidase,Acidovorax sp. JS42,3,2.47
(di)nucleoside polyphosphate hydrolase,Saccharophagus degradans 2-40,3,2.54
(dimethylallyl)adenosine tRNA methylthiotransferase,Bartonella henselae str. Houston-1,1,0.0
(dimethylallyl)adenosine tRNA methylthiotransferase,Chlorobium phaeobacteroides BS1,1,0.0
(dimethylallyl)adenosine tRNA methylthiotransferase,Gluconacetobacter diazotrophicus PAl 5,1,0.0
(dimethylallyl)adenosine tRNA methylthiotransferase,Porphyromonas gingivalis W83,2,1.56
(dimethylallyl)adenosine tRNA methylthiotransferase,Xanthomonas campestris pv. vesicatoria str. 85-10,2,1.65
(glutamate--ammonia-ligase) adenylyltransferase,Acidiphilium cryptum JF-5,1,0.0
(p)ppGpp synthetase,Chitinophaga pinensis DSM 2588,3,2.51
(p)ppGpp synthetase,Dyadobacter fermentans DSM 18053,2,1.59
(p)ppGpp synthetase,Jonesia denitrificans DSM 20603,2,1.69
(p)ppGpp synthetase,Paracoccus denitrificans PD1222,8,6.49
(p)ppGpp synthetase I,Frankia sp. CcI3,1,0.0
-bisphosphoglycerate-independent phosphoglycerate mutase,Francisella novicida FTG,2,1.68
-heptose,Haemophilus influenzae 7P49H1,1,0.0
037L,Invertebrate iridescent virus 6,2,1.65
1,Synechococcus sp. WH 8109,3,2.37
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Acidovorax sp. JS42,1,0.0
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Jannaschia sp. CCS1,7,5.82
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Lactococcus lactis subsp. cremoris SK11,1,0.0
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Octadecabacter antarcticus 238,13,10.68
1-acyl-sn-glycerol-3-phosphate acyltransferase,Flavobacteriales bacterium ALC-1,1,0.0
1-aminocyclopropane-1-carboxylate deaminase,Anabaena variabilis ATCC 29413,1,0.0
1-aminocyclopropane-1-carboxylate deaminase,Flavobacteria bacterium MS024-2A,7,5.75
1-aminocyclopropane-1-carboxylate deaminase,Saccharopolyspora erythraea NRRL 2338,1,0.0
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Acaryochloris marina MBIC11017,1,0.0
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Brachyspira murdochii DSM 12563,2,1.7
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Candidatus Koribacter versatilis Ellin345,1,0.0
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Congregibacter litoralis KT71,7,5.63
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Dermacoccus sp. Ellin185,1,0.0
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Rhodococcus erythropolis SK121,1,0.0
1-deoxy-D-xylulose 5-phosphate reductoisomerase,uncultured Termite group 1 bacterium phylotype Rs-D17,1,0.0
1-deoxy-D-xylulose-5-phosphate synthase,Aggregatibacter aphrophilus NJ8700,1,0.0
1-deoxy-D-xylulose-5-phosphate synthase,Azoarcus sp. BH72,2,1.71
1-deoxy-D-xylulose-5-phosphate synthase,Bacteroides sp. 1_1_6,2,1.7
1-deoxy-D-xylulose-5-phosphate synthase,Burkholderia cenocepacia HI2424,1,0.0
1-deoxy-D-xylulose-5-phosphate synthase,Burkholderia pseudomallei 305,1,0.0
1-deoxy-D-xylulose-5-phosphate synthase,Desulfotalea psychrophila LSv54,2,1.65
1-deoxy-D-xylulose-5-phosphate synthase,Klebsiella pneumoniae 342,1,0.0
1-deoxy-D-xylulose-5-phosphate synthase,Lawsonia intracellularis PHE/MN1-00,1,0.0
1-deoxy-D-xylulose-5-phosphate synthase,Rhodococcus jostii RHA1,1,0.0
1-deoxy-D-xylulose-5-phosphate synthase,Roseomonas cervicalis ATCC 49957,4,3.3
1-deoxy-D-xylulose-5-phosphate synthase,Sulfitobacter sp. NAS-14.1,11,9.07
1-deoxy-D-xylulose-5-phosphate synthase,Synechococcus sp. CC9902,7,5.77
1-deoxy-D-xylulose-5-phosphate synthase,Synechococcus sp. PCC 7335,1,0.0
1-deoxy-D-xylulose-5-phosphate synthase,Synechococcus sp. WH 7803,8,6.59
1-deoxy-D-xylulose-5-phosphate synthase,Thermomicrobium roseum DSM 5159,1,0.0
1-deoxy-xylulose 5-phosphate synthase,Thermodesulfovibrio yellowstonii DSM 11347,1,0.0
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,Methylobacter tundripaludum SV96,1,0.0
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase.,Alcanivorax borkumensis SK2,8,6.57
1-pyrroline-5-carboxylate dehydrogenase,Deferribacter desulfuricans SSM1,10,8.09
1-pyrroline-5-carboxylate dehydrogenase,Sorangium cellulosum ''So ce 56'',1,0.0
1-pyrroline-5-carboxylate dehydrogenase,Stigmatella aurantiaca DW4/3-1,1,0.0
14-3-3 protein,Tetrahymena thermophila,1,0.0
16S rRNA m(7)G-527 methyltransferase,Mucilaginibacter paludis DSM 18603,1,0.0
16S rRNA processing protein RimM,Capnocytophaga ochracea DSM 7271,4,3.27
16S rRNA processing protein RimM,Citreicella sp. SE45,3,2.46
16S rRNA-processing protein,Synechococcus sp. WH 5701,3,2.43
16S rRNA-processing protein RimM,Leifsonia xyli subsp. xyli str. CTCB07,4,3.36
16S rRNA-processing protein RimM,Pseudomonas aeruginosa PAO1,1,0.0
16S ribosomal RNA methyltransferase RsmE,Synechococcus sp. CC9902,2,1.58
1A family penicillin-binding protein,Synechococcus sp. JA-3-3Ab,1,0.0
1L-myo-inositol-1-phosphate synthase,Streptomyces viridochromogenes DSM 40736,2,1.73
2''-deoxycytidine 5''-triphosphate deaminase,Roseobacter sp. MED193,11,9.29
2-C-methyl-D-erythritol,Bacillus cereus ATCC 10987,1,0.0
2-C-methyl-D-erythritol,Pelobacter carbinolicus DSM 2380,1,0.0
2-C-methyl-D-erythritol,Pseudomonas syringae pv. tabaci ATCC 11528,4,3.32
2-C-methyl-D-erythritol,Thermobifida fusca YX,1,0.0
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Corynebacterium accolens ATCC 49725,1,0.0
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Prochlorococcus marinus str. MIT 9313,2,1.6
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Synechococcus sp. WH 8109,10,8.22
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,gamma proteobacterium HTCC2207,1,0.0
2-acyl-glycerophospho-ethanolamine acyltransferase,Rhodopirellula baltica SH 1,2,1.59
2-amino-3-ketobutyrate coenzyme A ligase,Ralstonia pickettii 12D,3,2.37
2-amino-3-ketobutyrate coenzyme A ligase,Vibrio shilonii AK1,1,0.0
2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Methylococcus capsulatus str. Bath,1,0.0
2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Synechococcus sp. WH 8102,3,2.43
2-aminoethylphosphonate ABC transport syste,Sinorhizobium meliloti BL225C,1,0.0
2-aminoethylphosphonate--pyruvate transaminase,Thalassiobium sp. R2A62,1,0.0
2-dehydro-3-deoxy-6-phosphogalactonate aldolase,Pseudomonas syringae pv. phaseolicola 1448A,1,0.0
2-dehydro-3-deoxy-6-phosphogalactonate aldolase,Roseobacter denitrificans OCh 114,2,1.72
2-dehydro-3-deoxy-6-phosphogalactonate aldolase,Ruegeria sp. R11,7,5.58
2-dehydro-3-deoxygalactonokinase,Dinoroseobacter shibae DFL 12,8,6.68
2-dehydro-3-deoxyglucarate aldolase,Methanococcoides burtonii DSM 6242,3,2.53
2-dehydro-3-deoxyglucarate aldolase,Rhodobacterales bacterium HTCC2255,2,1.6
2-dehydro-3-deoxyglucarate aldolase,Rhodoferax ferrireducens T118,1,0.0
2-dehydro-3-deoxyphosphogluconate aldolase,Pseudomonas fluorescens WH6,1,0.0
2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase,Roseobacter sp. CCS2,1,0.0
2-dehydro-3-deoxyphosphooctonate aldolase,Coxiella burnetii CbuK_Q154,1,0.0
