gene function,organism,counts,oualidia_1_counts
(2Fe-2S)-binding,Cupriavidus metallidurans CH34,1,1
(2Fe-2S)-binding,Moorella thermoacetica ATCC 39073,1,1
(3R)-hydroxymyristoyl-ACP dehydratase,Teredinibacter turnerae T7901,1,1
(3R)-hydroxymyristoyl-[acyl carrier protein,Candidatus Pelagibacter ubique HTCC1002,4,4
(3R)-hydroxymyristoyl-[acyl carrier protein,Erythrobacter sp. NAP1,1,1
(NiFe) hydrogenase maturation protein HypF,Desulfatibacillum alkenivorans AK-01,1,1
(S)-2-hydroxy-acid oxidas,Arabidopsis thaliana,1,1
(S)-2-hydroxy-acid oxidase,Azospirillum sp. B510,4,4
(S)-2-hydroxy-acid oxidase chain D,Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1,1,1
(acyl-carrier-protein) S-malonyltransferase,Burkholderia sp. CCGE1003,1,1
(dimethylallyl)adenosine tRNA methylthiotransferase,Cyanothece sp. PCC 7425,1,1
(dimethylallyl)adenosine tRNA methylthiotransferase,Ehrlichia canis str. Jake,1,1
(dimethylallyl)adenosine tRNA methylthiotransferase,Haemophilus influenzae PittEE,1,1
(dimethylallyl)adenosine tRNA methylthiotransferase,Jannaschia sp. CCS1,1,1
(dimethylallyl)adenosine tRNA methylthiotransferase,Pedobacter heparinus DSM 2366,2,2
(dimethylallyl)adenosine tRNA methylthiotransferase,Saccharopolyspora erythraea NRRL 2338,3,3
(dimethylallyl)adenosine tRNA methylthiotransferase,Xanthomonas campestris pv. vesicatoria str. 85-10,1,1
(glutamate--ammonia-ligase) adenylyltransferase,Parvibaculum lavamentivorans DS-1,1,1
(p)ppGpp synthetase,Chitinophaga pinensis DSM 2588,2,2
(p)ppGpp synthetase I,Frankia sp. CcI3,1,1
(p)ppGpp synthetase I (GTP pyrophosphokinase,Candidatus Koribacter versatilis Ellin345,1,1
(p)ppgpp synthetase,Oceanithermus profundus DSM 14977,1,1
-dienoyl-CoA reductase,Glaciecola sp. HTCC2999,1,1
-dienoyl-CoA reductase FadH1,Pseudomonas aeruginosa UCBPP-PA14,2,2
-dihydroxy-2-butanone-4-phosphate synthase,Lactobacillus reuteri MM4-1A,1,1
-dimethyl-8-ribityllumazine synthase,Desulfitobacterium hafniense Y51,2,2
-tetrahydropyridine-,Yersinia pestis biovar Microtus str. 91001,2,2
1-(5-phosphoribosyl)-5- ((5''-phosphoribosylamino)methylideneamino)imidazole-4- carboxamide isomerase,Roseburia intestinalis L1-82,1,1
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Jannaschia sp. CCS1,1,1
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Lactococcus lactis subsp. cremoris SK11,4,4
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Neisseria meningitidis FAM18,1,1
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Ralstonia eutropha H16,1,1
1-acyl-sn-glycerol-3-phosphate acetyltransferase,Maribacter sp. HTCC2170,1,1
1-acyl-sn-glycerol-3-phosphate acyltransferase,Flavobacteriales bacterium ALC-1,2,2
1-acyl-sn-glycerol-3-phosphate acyltransferase,Zunongwangia profunda SM-A87,1,1
1-aminocyclopropane-1-carboxylate deaminase,Saccharopolyspora erythraea NRRL 2338,3,3
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Afipia sp. 1NLS2,3,3
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Cylindrospermopsis raciborskii CS-505,2,2
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Dermacoccus sp. Ellin185,2,2
1-deoxy-D-xylulose 5-phosphate reductoisomerase,Methylococcus capsulatus str. Bath,2,2
1-deoxy-D-xylulose-5-phosphate synthase,Azoarcus sp. BH72,1,1
1-deoxy-D-xylulose-5-phosphate synthase,Bacteroides sp. 1_1_6,2,2
1-deoxy-D-xylulose-5-phosphate synthase,Chlamydophila pneumoniae AR39,1,1
1-deoxy-D-xylulose-5-phosphate synthase,Gemmatimonas aurantiaca T-27,1,1
1-deoxy-D-xylulose-5-phosphate synthase,Gramella forsetii KT0803,1,1
1-deoxy-D-xylulose-5-phosphate synthase,Hirschia baltica ATCC 49814,1,1
1-deoxy-D-xylulose-5-phosphate synthase,Marinobacter sp. ELB17,1,1
1-deoxy-D-xylulose-5-phosphate synthase,Methylocella silvestris BL2,1,1
1-deoxy-D-xylulose-5-phosphate synthase,Oceanibulbus indolifex HEL-45,1,1
1-deoxy-D-xylulose-5-phosphate synthase,Prevotella ruminicola 23,1,1
1-deoxy-D-xylulose-5-phosphate synthase,Pseudomonas fluorescens Pf-5,1,1
1-deoxy-D-xylulose-5-phosphate synthase,Rhodobacter sphaeroides 2.4.1,1,1
1-deoxy-D-xylulose-5-phosphate synthase,Roseomonas cervicalis ATCC 49957,1,1
1-deoxy-D-xylulose-5-phosphate synthase,Sphingopyxis alaskensis RB2256,1,1
1-deoxy-D-xylulose-5-phosphate synthase,Sulfitobacter sp. NAS-14.1,6,6
1-phosphatidylinositol-,Homo sapiens,2,2
116 kDa U5 small nuclear ribonucleoprotein component isoform a,Mus musculus,1,1
12-oxophytodienoate reductase 1,gamma proteobacterium NOR5-3,2,2
13 kDa ribonucleoprotein-associated protein,Phytophthora infestans T30-4,1,1
16S rRNA methyltransferase GidB,Arthrobacter chlorophenolicus A6,2,2
16S rRNA methyltransferase GidB,Brevibacterium mcbrellneri ATCC 49030,3,3
16S rRNA processing protein,Croceibacter atlanticus HTCC2559,1,1
16S rRNA-processing protein RimM,Chromobacterium violaceum ATCC 12472,1,1
16S rRNA-processing protein RimM,Leifsonia xyli subsp. xyli str. CTCB07,9,9
16S rRNA-processing protein RimM,Vibrio fischeri ES114,1,1
18S ribosomal RNA,Olpidium brassicae,1,1
1A family penicillin-binding protein,Alkalilimnicola ehrlichii MLHE-1,1,1
1A family penicillin-binding protein,Burkholderia ambifaria AMMD,1,1
1A family penicillin-binding protein,Geobacter sulfurreducens PCA,1,1
2''-deoxycytidine 5''-triphosphate deaminase,Roseovarius nubinhibens ISM,1,1
2-C-methyl-D-erythritol,Clostridium botulinum F str. Langeland,1,1
2-C-methyl-D-erythritol,Deferribacter desulfuricans SSM1,2,2
2-C-methyl-D-erythritol,Pelobacter carbinolicus DSM 2380,1,1
2-C-methyl-D-erythritol,Vibrio harveyi ATCC BAA-1116,1,1
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bacillus clausii KSM-K16,1,1
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Bacteroides sp. 2_2_4,1,1
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Prevotella oris F0302,1,1
2-amino-3-ketobutyrate coenzyme A ligase,Anaeromyxobacter dehalogenans 2CP-C,1,1
2-amino-3-ketobutyrate coenzyme A ligase,Francisella tularensis subsp. tularensis WY96-3418,1,1
2-amino-3-ketobutyrate coenzyme A ligase,Hahella chejuensis KCTC 2396,1,1
2-amino-3-ketobutyrate coenzyme A ligase,Haliangium ochraceum DSM 14365,1,1
2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Rhodospirillum centenum SW,1,1
2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Streptococcus pyogenes MGAS2096,1,1
2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase,Streptomyces avermitilis MA-4680,1,1
2-aminoethylphosphonate--pyruvate transaminase,Thalassiobium sp. R2A62,2,2
2-dehydro-3-deoxyglucarate aldolase,Rhodoferax ferrireducens T118,1,1
2-dehydro-3-deoxyphosphooctonate aldolase,Allochromatium vinosum DSM 180,1,1
2-dehydro-3-deoxyphosphooctonate aldolase,Arcobacter butzleri RM4018,2,2
2-dehydro-3-deoxyphosphooctonate aldolase,Bartonella tribocorum CIP 105476,1,1
2-dehydro-3-deoxyphosphooctonate aldolase,Bordetella parapertussis 12822,1,1
2-dehydro-3-deoxyphosphooctonate aldolase,Dethiosulfovibrio peptidovorans DSM 11002,1,1
2-dehydro-3-deoxyphosphooctonate aldolase,Leptospira biflexa serovar Patoc strain ''Patoc 1 (Ames)'',3,3
2-dehydro-3-deoxyphosphooctonate aldolase,Loktanella vestfoldensis SKA53,1,1
2-dehydro-3-deoxyphosphooctonate aldolase,Roseobacter denitrificans OCh 114,3,3
2-dehydropantoate 2-reductase,Alteromonas macleodii ''Deep ecotype'',1,1
2-dehydropantoate 2-reductase,Brevundimonas subvibrioides ATCC 15264,1,1
2-desacetyl-2-hydroxyethyl bacteriochlorophyllide,Rhodospirillum rubrum ATCC 11170,1,1
2-hydroxy-3-oxopropionate reductase,Idiomarina loihiensis L2TR,1,1
2-hydroxyacid dehydrogenase,Alteromonas macleodii ''Deep ecotype'',1,1
2-hydroxychromene-2-carboxylate isomeras,Limnobacter sp. MED105,1,1
2-hydroxychromene-2-carboxylate isomerase,Silicibacter lacuscaerulensis ITI-1157,1,1
2-hydroxyglutarate dehydrogenase,Shewanella woodyi ATCC 51908,1,1
2-isopropylmalate synthase,Bacteroides fragilis YCH46,1,1
2-isopropylmalate synthase,Candidatus Pelagibacter ubique HTCC1062,44,44
2-isopropylmalate synthase,Corynebacterium efficiens YS-314,1,1
2-isopropylmalate synthase,Mycobacterium sp. Spyr1,2,2
2-isopropylmalate synthase,Nitrobacter winogradskyi Nb-255,2,2
2-isopropylmalate synthase,Parvibaculum lavamentivorans DS-1,1,1
2-isopropylmalate synthase,Pasteurella multocida subsp. multocida str. Pm70,3,3
2-isopropylmalate synthase,Psychrobacter sp. PRwf-1,1,1
2-isopropylmalate synthase,Rhodobacter sphaeroides ATCC 17025,3,3
2-isopropylmalate synthase,Rhodomicrobium vannielii ATCC 17100,4,4
2-isopropylmalate synthase,Roseiflexus sp. RS-1,3,3
2-isopropylmalate synthase,Roseovarius nubinhibens ISM,5,5
2-isopropylmalate synthase,Streptomyces sp. ACTE,4,4
2-isopropylmalate synthase,beta proteobacterium KB13,4,4
2-isopropylmalate synthase,gamma proteobacterium NOR5-3,1,1
2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1 7-dioic acid hydratase,Maribacter sp. HTCC2170,4,4
2-keto-4-pentenoatehydratase/2-oxohepta-3-ene-,Geobacillus thermodenitrificans NG80-2,1,1
2-ketoglutarate: NADP oxidoreductas,Aromatoleum aromaticum EbN1,3,3
