family,nador_2_counts,oualidia_2_counts,oualidia_1_counts,nador_1_counts
0,2639.9800000000005,1950.0,1990.0,2595.8599999999997
Acetobacteraceae,136.20000000000002,132.0,127.0,137.20000000000002
Acholeplasmataceae,2.39,12.0,18.0,1.61
Acidaminococcaceae,0.0,2.0,3.0,1.66
Acidithiobacillaceae,10.66,13.0,11.0,3.28
Actinomycetaceae,14.690000000000001,55.0,56.0,13.209999999999999
Aerococcaceae,0.0,4.0,1.0,0.0
Aeromonadaceae,33.89,50.0,43.0,32.68
Ajellomycetaceae,0.0,9.0,10.0,0.0
Akkermansiaceae,17.82,58.0,52.0,16.71
Alicyclobacillaceae,4.109999999999999,11.0,11.0,1.57
Alteromonadaceae,139.61,293.0,300.0,181.1
Aphanizomenonaceae,9.149999999999999,19.0,17.0,5.85
Aphididae,0.0,10.0,14.0,3.91
Apidae,0.0,10.0,11.0,3.9800000000000004
Aquificaceae,5.76,19.0,13.0,5.03
Archangiaceae,2.58,5.0,9.0,2.5
Arthrodermataceae,1.72,5.0,4.0,0.0
Ascoviridae,0.0,3.0,2.0,0.0
Aspergillaceae,8.29,50.0,50.0,6.48
Aurantimonadaceae,27.89,36.0,33.0,32.019999999999996
Babesiidae,0.0,6.0,12.0,0.0
Bacillaceae,85.34000000000002,172.0,154.0,110.63999999999997
Bacteroidaceae,120.9,104.0,114.0,136.57
Baculoviridae,0.0,2.0,2.0,0.0
Bangiaceae,20.689999999999998,62.0,35.0,8.13
Basidiobolaceae,0.0,6.0,7.0,0.0
Bathycoccaceae,47.449999999999996,118.0,113.0,44.41
Beutenbergiaceae,5.739999999999999,27.0,26.0,6.49
Bifidobacteriaceae,7.38,40.0,41.0,5.81
Blattabacteriaceae,2.49,1.0,0.0,1.66
Bovidae,3.25,29.0,20.0,3.34
Brachyspiraceae,18.02,106.0,91.0,31.04
Branchiostomidae,8.13,36.0,30.0,14.780000000000001
Brassicaceae,29.66,198.0,199.0,39.71
Brevibacteriaceae,6.5,68.0,74.0,12.309999999999999
Brucellaceae,167.21,130.0,119.0,159.46
Burkholderiaceae,211.05,348.0,319.0,259.4299999999999
Cafeteriaceae,0.0,3.0,4.0,0.0
Campylobacteraceae,10.03,41.0,48.0,17.77
Canidae,1.62,26.0,38.0,1.68
Caulobacteraceae,117.82,107.0,116.0,116.7
Cebidae,0.0,3.0,3.0,0.0
Cellulomonadaceae,8.32,24.0,18.0,4.83
Cellvibrionaceae,273.3699999999999,151.0,165.0,263.8399999999999
Cenarchaeaceae,0.0,2.0,2.0,0.0
Cercopithecidae,0.0,17.0,13.0,0.0
Chaetomiaceae,1.7,6.0,11.0,2.48
Chaetopeltidaceae,0.0,1.0,1.0,0.0
Chaetosphaeridiaceae,0.0,10.0,6.0,0.0
Characeae,0.0,3.0,3.0,0.0
Chattonellaceae,0.0,7.0,6.0,0.0
Chitinophagaceae,57.910000000000004,76.0,71.0,63.82
Chlamydiaceae,3.27,9.0,10.0,1.7
Chlamydomonadaceae,4.83,25.0,26.0,4.06
Chlorellaceae,0.0,19.0,21.0,0.0
Chloroflexaceae,7.390000000000001,21.0,21.0,7.4399999999999995
Chromatiaceae,56.980000000000004,95.0,97.0,64.26
Chrysiogenaceae,4.880000000000001,7.0,6.0,4.12
Chthoniobacteraceae,21.25,45.0,46.0,25.45
Cicadellidae,0.0,3.0,1.0,0.0
Cionidae,3.46,17.0,18.0,4.08
Coleofasciculaceae,1.61,5.0,5.0,4.09
