phylum,nador_2_counts,oualidia_2_counts,oualidia_1_counts,nador_1_counts
0,1234.5200000000002,1486.0,1519.0,1231.2600000000002
Actinobacteria,637.8899999999999,2306.0,2196.0,664.0200000000002
Annelida,2.48,0.0,0.0,3.34
Apicomplexa,20.53,294.0,299.0,16.36
Arthropoda,32.31,515.0,447.0,35.58
Bacillariophyta,198.01999999999995,689.0,698.0,214.54000000000002
Bacteroidetes,5838.389999999987,2676.0,2780.0,5711.350000000003
Chlamydiae,9.85,32.0,42.0,11.589999999999998
Chloroflexi,74.93,86.0,86.0,79.10000000000001
Chlorophyta,93.92999999999999,285.0,287.0,90.03
Chrysiogenetes,4.880000000000001,7.0,6.0,4.12
Cnidaria,19.08,68.0,71.0,22.31
Crenarchaeota,2.52,23.0,26.0,3.24
Echinodermata,8.83,37.0,25.0,4.81
Elusimicrobia,6.699999999999999,4.0,5.0,7.3100000000000005
Firmicutes,411.8500000000003,686.0,694.0,376.98000000000013
Gemmatimonadetes,2.56,7.0,7.0,0.0
Hemichordata,0.0,9.0,10.0,0.0
Lentisphaerae,26.06,64.0,59.0,46.74
Phaeophyceae,3.21,10.0,25.0,4.15
Placozoa,4.41,16.0,19.0,5.74
Planctomycetes,281.86000000000007,334.0,323.0,319.8900000000001
Platyhelminthes,1.64,5.0,5.0,3.21
Spirochaetes,81.80000000000001,153.0,133.0,100.13
Synergistetes,1.7,18.0,10.0,6.37
Tenericutes,8.91,42.0,53.0,9.03
Thaumarchaeota,0.0,3.0,3.0,0.0
Verrucomicrobia,178.94999999999993,446.0,460.0,186.5199999999999
