class,nador_2_counts,oualidia_2_counts,oualidia_1_counts,nador_1_counts
0,5248.259999999994,1894.0,1969.0,5426.169999999997
Alphaproteobacteria,15414.579999999994,9095.0,9430.0,15296.20000000002
Amphibia,0.0,25.0,12.0,0.0
Arachnida,1.65,9.0,11.0,0.0
Ascidiacea,3.46,17.0,18.0,4.08
Aves,101.21000000000001,735.0,611.0,133.68
Bacillariophyceae,76.42000000000002,146.0,142.0,84.57000000000001
Branchiopoda,2.44,1.0,0.0,2.38
Collembola,0.0,3.0,3.0,0.0
Deferribacteres,15.75,18.0,20.0,11.520000000000001
Dinophyceae,4.95,47.0,46.0,1.52
Echinoidea,8.83,36.0,25.0,4.81
Fibrobacteria,1.6,2.0,3.0,0.0
Gammaproteobacteria,4050.6900000000005,4378.0,4426.0,4196.910000000002
Gemmatimonadetes,2.56,7.0,7.0,0.0
Halobacteria,7.359999999999999,25.0,25.0,13.13
Hydrozoa,1.63,6.0,15.0,3.25
Lentisphaeria,26.06,64.0,59.0,46.74
Mediophyceae,62.099999999999994,126.0,113.0,62.59
Negativicutes,3.27,19.0,20.0,9.06
Oligohymenophorea,17.4,53.0,63.0,18.770000000000003
Saccharomycetes,13.259999999999998,127.0,136.0,13.030000000000001
Thermoleophilia,4.97,9.0,9.0,7.46
