order,nador_2_counts,oualidia_2_counts,oualidia_1_counts,nador_1_counts
0,1906.580000000002,1158.0,1166.0,1875.6399999999999
Acholeplasmatales,2.39,12.0,18.0,1.61
Acidaminococcales,0.0,2.0,3.0,1.66
Acidimicrobiales,14.990000000000002,4.0,3.0,14.45
Acidithiobacillales,10.66,13.0,11.0,3.28
Acidobacteriales,14.64,34.0,35.0,19.26
Actiniaria,17.45,62.0,55.0,19.06
Actinomycetales,14.690000000000001,55.0,56.0,13.209999999999999
Aeromonadales,33.89,50.0,43.0,32.68
Bangiales,20.689999999999998,62.0,35.0,8.13
Basidiobolales,0.0,6.0,7.0,0.0
Bicosoecida,0.0,3.0,4.0,0.0
Bifidobacteriales,7.38,40.0,41.0,5.81
Brachyspirales,18.02,106.0,91.0,31.04
Brassicales,29.66,198.0,199.0,39.71
Burkholderiales,419.20999999999987,657.0,707.0,493.5600000000001
Campylobacterales,42.18,88.0,86.0,47.1
Carnivora,1.62,28.0,39.0,1.68
Caudovirales,691.05,293.0,298.0,665.05
Cellvibrionales,1264.4400000000003,702.0,691.0,1258.3700000000006
Cenarchaeales,0.0,2.0,2.0,0.0
Charales,0.0,3.0,3.0,0.0
Chattonellales,0.0,7.0,6.0,0.0
Chitinophagales,57.910000000000004,76.0,71.0,63.82
Chlamydiales,3.27,9.0,10.0,1.7
Chlamydomonadales,9.8,65.0,61.0,8.82
Chlorellales,0.0,19.0,21.0,0.0
Choanoflagellida,15.43,119.0,155.0,28.45
Chroococcales,8.17,42.0,19.0,5.83
Chthoniobacterales,21.25,45.0,46.0,25.45
Coleochaetales,0.0,10.0,6.0,0.0
Coleoptera,0.0,9.0,10.0,0.0
Coriobacteriales,0.0,3.0,1.0,0.0
Cryptomonadales,0.0,5.0,2.0,0.0
Cyanidiales,4.05,8.0,12.0,5.630000000000001
Cytophagales,345.45,345.0,343.0,377.3099999999999
Deferribacterales,15.75,18.0,20.0,11.520000000000001
Dehalococcoidales,1.7,12.0,10.0,3.27
Deinococcales,9.85,34.0,31.0,20.43
Desmarestiales,3.21,1.0,3.0,4.15
Desulfarculales,3.37,7.0,5.0,4.89
Desulfovibrionales,37.150000000000006,66.0,68.0,34.93
Desulfurococcales,0.0,4.0,8.0,0.0
Diplostraca,2.44,1.0,0.0,2.38
Diptera,26.569999999999997,451.0,377.0,23.65
Echinoida,8.83,36.0,25.0,4.81
Ectocarpales,0.0,8.0,20.0,0.0
Eggerthellales,3.22,4.0,7.0,3.3
Elusimicrobiales,6.699999999999999,2.0,4.0,7.3100000000000005
Enterobacterales,251.26,365.0,335.0,249.8199999999999
Eucoccidiorida,7.579999999999999,210.0,210.0,6.73
Eupodiscales,62.099999999999994,126.0,113.0,62.59
Eurotiales,8.29,57.0,60.0,6.48
Fabales,0.0,5.0,3.0,0.0
Fibrobacterales,1.6,2.0,3.0,0.0
Flavobacteriales,4263.459999999997,1586.0,1669.0,4081.6799999999985
Frankiales,37.26,38.0,44.0,33.72
Fucales,0.0,1.0,2.0,0.0
Funariales,13.16,32.0,35.0,12.49
Gracilariales,0.0,14.0,5.0,0.0
Haemosporida,12.95,74.0,72.0,9.63
Helotiales,2.4,20.0,22.0,3.25
Hemiptera,0.0,13.0,15.0,3.91
Hydrogenophilales,12.959999999999999,26.0,27.0,13.599999999999998
Hymenoptera,0.0,21.0,23.0,3.9800000000000004
Hymenostomatida,8.29,19.0,26.0,6.71
Ixodida,1.65,9.0,11.0,0.0
Kineosporiales,9.17,23.0,19.0,9.14
Kinetoplastida,0.0,55.0,76.0,3.37
Lactobacillales,51.09999999999999,104.0,97.0,27.360000000000003
Lagomorpha,0.0,3.0,4.0,0.0
Lamiales,13.04,19.0,14.0,10.39
Legionellales,74.49,99.0,126.0,91.27000000000004
Malasseziales,2.49,7.0,8.0,2.47
Malpighiales,19.0,66.0,71.0,17.18
Mamiellales,84.13,197.0,198.0,81.21
Methanobacteriales,4.92,8.0,6.0,1.56
Methanocellales,1.64,3.0,4.0,0.0
Methanococcales,8.43,26.0,22.0,10.059999999999999
Methanomicrobiales,7.549999999999999,6.0,4.0,8.76
Methylacidiphilales,7.59,24.0,29.0,7.38
Micrococcales,220.85999999999999,1249.0,1145.0,253.94
Monotremata,0.0,12.0,14.0,0.0
Mycoplasmatales,6.52,27.0,31.0,7.42
Myxococcales,102.32999999999998,1972.0,1735.0,109.51000000000002
Neisseriales,54.11,73.0,99.0,55.120000000000005
Nitrosomonadales,23.35,46.0,59.0,31.230000000000004
Nitrosopumilales,0.0,1.0,1.0,0.0
Nitrospirales,2.45,18.0,18.0,6.61
Nostocales,29.65,75.0,74.0,26.36
Oceanospirillales,503.19,478.0,491.0,525.9899999999998
Onygenales,1.72,35.0,28.0,1.58
Parachlamydiales,6.58,23.0,32.0,9.889999999999999
Parvularculales,15.999999999999998,9.0,9.0,22.16
Passeriformes,95.47,722.0,595.0,129.62
Pasteurellales,86.06,135.0,130.0,91.21999999999998
Pelagibacterales,5955.789999999996,4502.0,4816.0,5770.269999999999
Peniculida,9.11,34.0,37.0,12.06
Peridiniales,4.95,47.0,46.0,1.52
Perissodactyla,1.66,12.0,11.0,0.0
Perkinsida,2.53,26.0,23.0,3.18
Pezizales,0.0,9.0,2.0,0.0
Pinales,0.0,2.0,3.0,0.0
Planctomycetales,281.86000000000007,334.0,323.0,319.8900000000001
Pleosporales,1.66,14.0,11.0,2.48
Poales,10.629999999999999,73.0,90.0,8.129999999999999
Primates,90.76999999999998,177.0,176.0,89.96
Propionibacteriales,46.05,77.0,88.0,36.89999999999999
Pseudomonadales,612.83,551.0,596.0,650.5599999999997
Puniceicoccales,53.94,129.0,142.0,50.279999999999994
Pyrenomonadales,18.29,25.0,25.0,10.450000000000001
Rhabditida,8.18,44.0,62.0,6.68
Rhizobiales,1368.4400000000014,1198.0,1182.0,1371.3500000000015
Rhodobacterales,6198.630000000004,2218.0,2199.0,6233.179999999999
Rhodospirillales,753.3799999999999,413.0,454.0,790.9399999999999
Rodentia,82.82,145.0,124.0,80.75000000000001
Rubrobacterales,3.19,9.0,12.0,3.27
Saccharomycetales,13.259999999999998,127.0,136.0,13.030000000000001
Schizopyrenida,3.36,14.0,19.0,6.69
Selaginellales,9.05,38.0,35.0,7.27
Selenomonadales,1.71,8.0,11.0,5.77
Solanales,0.0,2.0,10.0,0.0
Solibacterales,11.47,41.0,36.0,15.57
Solirubrobacterales,4.97,9.0,9.0,7.46
Sordariales,4.2299999999999995,37.0,44.0,4.95
Sphingobacteriales,90.92,121.0,121.0,95.73999999999997
Sphingomonadales,309.18999999999994,292.0,278.0,348.47
Spirochaetales,19.19,13.0,14.0,23.08
Streptomycetales,57.68000000000001,213.0,211.0,57.55
Streptosporangiales,39.96999999999999,74.0,78.0,40.339999999999996
Strigeidida,1.64,5.0,5.0,3.21
Sulfolobales,2.52,14.0,13.0,3.24
Synechococcales,3889.9000000000005,235.0,224.0,4026.7199999999993
Synergistales,1.7,18.0,10.0,6.37
Syntrophobacterales,5.66,17.0,22.0,16.229999999999997
Synurales,3.28,21.0,18.0,3.28
Thalassiosirales,59.5,417.0,443.0,67.38
Thermoproteales,0.0,5.0,5.0,0.0
