order,nador_2_counts,oualidia_2_counts,oualidia_1_counts,nador_1_counts
Acidothermales,15.77,14.0,24.0,15.450000000000001
Agaricales,3.22,37.0,41.0,2.54
Alteromonadales,633.1299999999998,1026.0,995.0,682.58
Anthoathecata,1.63,6.0,15.0,3.25
Anura,0.0,25.0,12.0,0.0
Archaeoglobales,2.64,1.0,3.0,0.0
Bacillales,137.22,265.0,248.0,154.62999999999994
Caulobacterales,117.82,107.0,116.0,116.7
Chaetopeltidales,0.0,1.0,1.0,0.0
Chloroflexales,43.489999999999995,53.0,54.0,51.379999999999995
Chromatiales,175.84000000000003,257.0,261.0,186.45000000000002
Chrysiogenales,4.880000000000001,7.0,6.0,4.12
Clostridiales,157.67000000000004,226.0,238.0,112.73999999999998
Corynebacteriales,111.36999999999999,306.0,294.0,111.52999999999997
Cypriniformes,5.02,45.0,51.0,10.77
Desulfobacterales,21.150000000000002,63.0,57.0,18.78
Desulfuromonadales,83.06000000000002,111.0,125.0,70.97
Dictyoglomales,4.33,6.0,3.0,7.449999999999999
Dictyosteliida,17.04,128.0,122.0,21.22
Enterogona,3.46,17.0,18.0,4.08
Entomoplasmatales,0.0,3.0,4.0,0.0
Erysipelotrichales,6.550000000000001,10.0,16.0,6.8
Euglyphida,5.78,1.0,1.0,10.48
Fusobacteriales,14.88,33.0,40.0,16.42
Gemmatimonadales,2.56,7.0,7.0,0.0
Geodermatophilales,3.38,7.0,9.0,5.74
Gigartinales,4.3,11.0,11.0,3.31
Glomerellales,0.0,1.0,2.0,0.0
Glycomycetales,7.35,7.0,4.0,0.0
Haplotaxida,2.48,0.0,0.0,3.34
Herpetosiphonales,11.34,9.0,7.0,17.24
Hypocreales,5.88,24.0,24.0,6.529999999999999
Isochrysidales,1.68,1.0,1.0,2.58
Kosmotogales,0.0,1.0,4.0,1.7
Lentisphaerales,26.06,52.0,47.0,40.99
Magnaporthales,4.8,13.0,15.0,4.97
Methanosarcinales,14.83,65.0,62.0,14.05
Methylophilales,407.8600000000001,662.0,669.0,450.2499999999999
Micromonosporales,14.02,43.0,41.0,18.810000000000002
Nakamurellales,4.91,18.0,19.0,11.559999999999999
Natranaerobiales,0.0,1.0,4.0,0.0
Natrialbales,0.0,14.0,9.0,0.0
Nautiliales,1.54,3.0,4.0,2.42
Naviculales,76.42000000000002,146.0,142.0,84.57000000000001
Opitutales,33.86,67.0,64.0,34.45
Oscillatoriales,67.5,108.0,126.0,71.24999999999999
Pelagomonadales,0.0,33.0,41.0,0.0
Peronosporales,10.719999999999999,143.0,147.0,6.58
Petrotogales,0.0,3.0,5.0,1.61
Phthiraptera,1.65,7.0,8.0,1.66
Polyporales,0.0,6.0,7.0,1.63
Pseudonocardiales,17.470000000000002,73.0,67.0,13.719999999999999
Schizosaccharomycetales,2.44,37.0,34.0,0.0
Spirurida,21.8,229.0,193.0,14.66
Veneroida,16.11,14.0,15.0,12.260000000000002
Xanthomonadales,95.67999999999999,131.0,134.0,80.72999999999998
