(2Fe-2S)-binding,Cupriavidus metallidurans CH34,1
(2Fe-2S)-binding,Moorella thermoacetica ATCC 39073,2
(2Fe-2S)-binding domain protein,Ralstonia pickettii 12D,1
(3R)-hydroxymyristoyl-ACP dehydratase,Cellvibrio japonicus Ueda107,1
(3R)-hydroxymyristoyl-ACP dehydratase,Vibrio fischeri MJ11,3
(3R)-hydroxymyristoyl-[acyl carrier protein,Candidatus Pelagibacter ubique HTCC1002,5
(3R)-hydroxymyristoyl-[acyl carrier protein,Erythrobacter sp. NAP1,1
(NiFe) hydrogenase maturation protein HypF,Desulfatibacillum alkenivorans AK-01,1
(S)-2-hydroxy-acid oxidase chain D,Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1,1
(dimethylallyl)adenosine tRNA methylthiotransferase,Cyanothece sp. PCC 7425,1
(dimethylallyl)adenosine tRNA methylthiotransferase,Saccharopolyspora erythraea NRRL 2338,2
(dimethylallyl)adenosine tRNA methylthiotransferase,Xanthomonas campestris pv. vesicatoria str. 85-10,1
(glutamate--ammonia-ligase) adenylyltransferase,Parvibaculum lavamentivorans DS-1,1
(p)ppGpp synthetase,Chitinophaga pinensis DSM 2588,2
(p)ppGpp synthetase I,Frankia sp. CcI3,2
(p)ppGpp synthetase I (GTP pyrophosphokinase,Candidatus Koribacter versatilis Ellin345,1
(p)ppGpp synthetase I (GTP pyrophosphokinase,Polaromonas sp. JS666,1
-dienoyl-CoA reductase,Glaciecola sp. HTCC2999,1
-dienoyl-CoA reductase FadH1,Pseudomonas aeruginosa UCBPP-PA14,2
-dihydroxy-2-butanone-4-phosphate synthase,Lactobacillus reuteri MM4-1A,1
-dimethyl-8-ribityllumazine synthase,Desulfitobacterium hafniense Y51,1
-tetrahydropyridine-,Yersinia pestis biovar Microtus str. 91001,2
1-(5-phosphoribosyl)-5- ((5''-phosphoribosylamino)methylideneamino)imidazole-4- carboxamide isomerase,Roseburia intestinalis L1-82,1
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Jannaschia sp. CCS1,1
1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino,Lactococcus lactis subsp. cremoris SK11,2
